id,distribution,duration,t2y,t5y,t10y,t25y,t50y,t100y,t200y,data_years,name,x_97,y_97,org
467590,LPT3,24,246.7799402,340.1357497,402.1707962,480.6853656,539.2841909,598.0034938,657.2705029,99,恆春,223805.67,2434010.63,中央氣象局
467590,LPT3,48,313.5764843,425.8023463,496.3665799,581.6024102,642.5406007,701.5225317,759.1119138,99,恆春,223805.67,2434010.63,中央氣象局
467590,LPT3,72,352.5247984,481.2725706,564.544728,667.5874299,742.9239723,817.1758061,890.9462389,99,恆春,223805.67,2434010.63,中央氣象局
467610,LN3,1,55.24039676,71.20921956,80.39087563,90.86016764,98.0180121,104.7351068,111.1237147,55,成功,288250.73,2555128.55,中央氣象局
467610,LN3,3,101.0698371,135.2273862,157.5700128,185.5338454,206.2136558,226.7959473,247.4446262,55,成功,288250.73,2555128.55,中央氣象局
467610,LN3,6,137.9859859,187.343008,223.0269408,271.0857605,308.8760535,348.2665662,389.4757395,55,成功,288250.73,2555128.55,中央氣象局
467610,LN3,12,189.5192298,258.3602194,310.7145909,383.9118278,443.2926738,506.6622391,574.3888617,55,成功,288250.73,2555128.55,中央氣象局
467610,LN3,24,261.2084426,357.0095979,427.1657212,522.5491443,598.1468298,677.416259,760.7948098,55,成功,288250.73,2555128.55,中央氣象局
467610,LN3,48,352.5424566,490.0753973,581.2306003,696.4211005,782.2964039,868.286202,955.0288622,55,成功,288250.73,2555128.55,中央氣象局
467610,LN3,72,384.4449043,543.8152772,651.6758777,790.0730174,894.5779738,1000.23416,1107.749986,55,成功,288250.73,2555128.55,中央氣象局
467620,LPT3,1,51.15244143,65.02261114,73.48904366,83.53598574,90.62754137,97.43517958,104.0390595,55,蘭嶼,307631.19,2437759.07,中央氣象局
467620,LPT3,3,94.02927027,117.883217,129.5009513,140.8093389,147.4009684,152.8020704,157.2864733,55,蘭嶼,307631.19,2437759.07,中央氣象局
467620,LPT3,6,117.9349299,155.8728893,180.5505423,211.3413249,234.0652828,256.6556094,279.3006483,55,蘭嶼,307631.19,2437759.07,中央氣象局
467620,LPT3,12,150.7080782,199.4860661,232.0411339,273.5506834,304.8020735,336.374937,368.5177018,55,蘭嶼,307631.19,2437759.07,中央氣象局
467620,LPT3,24,190.4733532,252.4512928,293.3091649,344.8589366,383.2920266,421.8127825,460.7294611,55,蘭嶼,307631.19,2437759.07,中央氣象局
467620,LPT3,48,235.2689619,314.2696713,367.7735088,436.7995904,489.3143947,542.8113703,597.702341,55,蘭嶼,307631.19,2437759.07,中央氣象局
